"Date","Time","Open","High","Low","Close","Total Ticks"
02/05/2005,22:00:00,1.28727,1.28787,1.28547,1.28597,253
02/06/2005,22:00:00,1.28597,1.28647,1.27317,1.27557,5334
02/07/2005,22:00:00,1.27557,1.27967,1.27307,1.27607,4402
02/08/2005,22:00:00,1.27607,1.28137,1.27387,1.28047,5662
02/09/2005,22:00:00,1.28047,1.29057,1.27377,1.28727,5200
02/10/2005,22:00:00,1.28727,1.28947,1.28447,1.28667,4219
02/12/2005,22:00:00,1.28667,1.28807,1.28657,1.28717,205
02/13/2005,22:00:00,1.28717,1.29887,1.28717,1.29747,6203
02/14/2005,22:00:00,1.29747,1.30517,1.29527,1.30247,6668
02/15/2005,22:00:00,1.30247,1.30637,1.29577,1.30297,6821
02/16/2005,22:00:00,1.30297,1.30887,1.30147,1.30697,5512
02/17/2005,22:00:00,1.30697,1.30817,1.30147,1.30677,5301
02/19/2005,22:00:00,1.30677,1.30737,1.30427,1.30447,527
02/20/2005,22:00:00,1.30447,1.30777,1.30307,1.30667,4283
02/21/2005,22:00:00,1.30667,1.32607,1.30537,1.32577,6807
02/22/2005,22:00:00,1.32577,1.32737,1.31847,1.32157,6094
02/23/2005,22:00:00,1.32157,1.32687,1.31757,1.31957,5447
02/24/2005,22:00:00,1.31957,1.32457,1.31447,1.32417,5735
02/26/2005,22:00:00,1.32417,1.32487,1.32347,1.32417,353
02/27/2005,22:00:00,1.32417,1.32787,1.32197,1.32277,5894
02/28/2005,22:00:00,1.32277,1.32317,1.31667,1.31867,5722
03/01/2005,22:00:00,1.31867,1.31887,1.30877,1.31427,6313
03/02/2005,22:00:00,1.31427,1.31637,1.30957,1.31077,5633
03/03/2005,22:00:00,1.31077,1.32537,1.30857,1.32407,5391
03/05/2005,22:00:00,1.32407,1.32437,1.32287,1.32377,359
03/06/2005,22:00:00,1.32377,1.32477,1.31747,1.32127,5480
03/07/2005,22:00:00,1.32127,1.33617,1.32077,1.33427,5307
03/08/2005,22:00:00,1.33427,1.34217,1.33297,1.33917,6850
03/09/2005,22:00:00,1.33917,1.34547,1.33697,1.34177,8019
03/10/2005,22:00:00,1.34177,1.34797,1.33917,1.34497,6921
03/12/2005,22:00:00,1.34497,1.34647,1.34397,1.34607,673
03/13/2005,22:00:00,1.34607,1.34777,1.33347,1.33677,7040
03/14/2005,22:00:00,1.33677,1.34097,1.32957,1.33017,6637
03/15/2005,22:00:00,1.33017,1.34387,1.32897,1.34147,6763
03/16/2005,22:00:00,1.34147,1.34207,1.33397,1.33767,5515
03/17/2005,22:00:00,1.33767,1.33857,1.32637,1.33127,5435
03/19/2005,22:00:00,1.33127,1.33217,1.33087,1.33127,466
03/20/2005,22:00:00,1.33127,1.33167,1.31397,1.31557,7655
03/21/2005,22:00:00,1.31557,1.32247,1.30537,1.30857,6494
03/22/2005,22:00:00,1.30857,1.30867,1.29597,1.29847,6548
03/23/2005,22:00:00,1.29847,1.30327,1.29337,1.29377,5411
03/24/2005,22:00:00,1.29377,1.29687,1.29277,1.29567,4028
03/27/2005,22:00:00,1.29567,1.29627,1.28557,1.28957,6595
03/28/2005,22:00:00,1.28957,1.29547,1.28757,1.29207,6871
03/29/2005,22:00:00,1.29207,1.29827,1.29107,1.29137,7416
03/30/2005,22:00:00,1.29137,1.30177,1.29097,1.29627,6729
03/31/2005,22:00:00,1.29627,1.30507,1.28697,1.29077,7451
04/02/2005,22:00:00,1.29077,1.29117,1.28897,1.28917,1078
04/03/2005,21:00:00,1.28917,1.29047,1.28177,1.28467,5306
04/04/2005,21:00:00,1.28467,1.28767,1.28007,1.28677,5108
04/05/2005,21:00:00,1.28677,1.29097,1.28387,1.28707,5108
04/06/2005,21:00:00,1.28707,1.29397,1.28447,1.28547,11070
04/07/2005,21:00:00,1.28547,1.29307,1.28067,1.29277,4094
04/09/2005,21:00:00,1.29277,1.29367,1.29187,1.29327,665
04/10/2005,21:00:00,1.29327,1.30027,1.29077,1.29717,4624
04/11/2005,21:00:00,1.29717,1.30157,1.28627,1.29207,5544
04/12/2005,21:00:00,1.29207,1.29547,1.28487,1.29127,5278
04/13/2005,21:00:00,1.29127,1.29207,1.27677,1.28117,6363
04/14/2005,21:00:00,1.28117,1.29407,1.27777,1.29177,6787
04/16/2005,21:00:00,1.29177,1.29177,1.29047,1.29117,572
04/17/2005,21:00:00,1.29117,1.30427,1.28757,1.30247,5420
04/18/2005,21:00:00,1.30247,1.30767,1.29797,1.30627,6239
04/19/2005,21:00:00,1.30627,1.31027,1.29907,1.30857,7429
04/20/2005,21:00:00,1.30857,1.31247,1.30237,1.30447,7302
04/21/2005,21:00:00,1.30447,1.30927,1.30207,1.30637,6299
04/23/2005,21:00:00,1.30637,1.30737,1.30617,1.30637,605
04/24/2005,21:00:00,1.30637,1.30707,1.29547,1.30057,6130
04/25/2005,21:00:00,1.30057,1.30147,1.29447,1.29837,7266
04/26/2005,21:00:00,1.29837,1.29937,1.29037,1.29297,6637
04/27/2005,21:00:00,1.29297,1.29427,1.28807,1.28917,7054
04/28/2005,21:00:00,1.28917,1.29787,1.28527,1.28687,6744
04/30/2005,21:00:00,1.28687,1.28737,1.28547,1.28637,666
05/01/2005,21:00:00,1.28637,1.28737,1.28367,1.28627,6076
05/02/2005,21:00:00,1.28627,1.29157,1.28287,1.28697,6647
05/03/2005,21:00:00,1.28697,1.29727,1.28667,1.29447,6587
05/04/2005,21:00:00,1.29447,1.29877,1.29257,1.29577,6948
05/05/2005,21:00:00,1.29577,1.29627,1.28097,1.28227,6773
05/07/2005,21:00:00,1.28227,1.28247,1.28117,1.28167,717
05/08/2005,21:00:00,1.28167,1.28467,1.27897,1.28427,4949
05/09/2005,21:00:00,1.28427,1.28897,1.28147,1.28797,6262
05/10/2005,21:00:00,1.28797,1.29117,1.27767,1.28147,6957
05/11/2005,21:00:00,1.28147,1.28147,1.26837,1.26927,6636
05/12/2005,21:00:00,1.26927,1.26957,1.26097,1.26217,6807
05/14/2005,21:00:00,1.26217,1.26327,1.26087,1.26277,618
05/15/2005,21:00:00,1.26277,1.26487,1.25807,1.26397,6429
05/16/2005,21:00:00,1.26397,1.26627,1.25927,1.26047,6666
05/17/2005,21:00:00,1.26047,1.26897,1.25847,1.26777,7188
05/18/2005,21:00:00,1.26777,1.26907,1.26047,1.26427,5860
05/19/2005,21:00:00,1.26427,1.26497,1.25347,1.25597,5342
05/21/2005,21:00:00,1.25597,1.25717,1.25417,1.25497,645
05/22/2005,21:00:00,1.25497,1.25977,1.25337,1.25747,5991
05/23/2005,21:00:00,1.25747,1.26287,1.25557,1.25827,5628
05/24/2005,21:00:00,1.25827,1.26177,1.25507,1.25997,5668
05/25/2005,21:00:00,1.25997,1.26137,1.24927,1.25107,7754
05/26/2005,21:00:00,1.25107,1.25887,1.25047,1.25797,6521
05/28/2005,21:00:00,1.25797,1.25797,1.25087,1.25237,1198
05/29/2005,21:00:00,1.25237,1.25447,1.24647,1.24737,5663
05/30/2005,21:00:00,1.24737,1.24857,1.22947,1.23017,8769
05/31/2005,21:00:00,1.23017,1.23407,1.21567,1.21787,9336
06/01/2005,21:00:00,1.21787,1.22957,1.21777,1.22657,8832
06/02/2005,21:00:00,1.22657,1.23457,1.22027,1.22227,7678
06/04/2005,21:00:00,1.22227,1.22287,1.22067,1.22267,1340
06/05/2005,21:00:00,1.22267,1.22937,1.22177,1.22587,7928
06/06/2005,21:00:00,1.22587,1.23137,1.22367,1.22847,7134
06/07/2005,21:00:00,1.22847,1.23527,1.22047,1.22317,8342
06/08/2005,21:00:00,1.22317,1.22557,1.21767,1.22287,8866
06/09/2005,21:00:00,1.22287,1.22477,1.21077,1.21197,8458
06/11/2005,21:00:00,1.21197,1.21227,1.21067,1.21107,937
06/12/2005,21:00:00,1.21107,1.21207,1.20277,1.21067,7906
06/13/2005,21:00:00,1.21067,1.21507,1.20217,1.20297,9383
06/14/2005,21:00:00,1.20297,1.21317,1.20157,1.21147,8247
06/15/2005,21:00:00,1.21147,1.21677,1.20567,1.21067,7714
06/16/2005,21:00:00,1.21067,1.22837,1.20907,1.22757,7358
06/18/2005,21:00:00,1.22757,1.22757,1.21747,1.22157,843
06/19/2005,21:00:00,1.22157,1.22387,1.21247,1.21537,7770
06/20/2005,21:00:00,1.21537,1.21857,1.20697,1.21817,6967
06/21/2005,21:00:00,1.21817,1.22077,1.20977,1.21267,7175
06/22/2005,21:00:00,1.21267,1.21437,1.20167,1.20377,7235
06/23/2005,21:00:00,1.20377,1.21077,1.19807,1.21017,8060
06/25/2005,21:00:00,1.21017,1.21017,1.20797,1.20917,735
06/26/2005,21:00:00,1.20917,1.21847,1.20907,1.21637,6374
06/27/2005,21:00:00,1.21637,1.21737,1.20507,1.20517,6735
06/28/2005,21:00:00,1.20517,1.21117,1.20147,1.20697,7002
06/29/2005,21:00:00,1.20697,1.21237,1.20417,1.21047,8293
06/30/2005,21:00:00,1.21047,1.21067,1.19397,1.19477,8104
07/02/2005,21:00:00,1.19477,1.19637,1.19397,1.19407,620
07/03/2005,21:00:00,1.19407,1.19487,1.18887,1.18997,6675
07/04/2005,21:00:00,1.18997,1.19387,1.18647,1.19107,7039
07/05/2005,21:00:00,1.19107,1.19507,1.18907,1.19317,6758
07/06/2005,21:00:00,1.19317,1.20407,1.19077,1.19497,9083
07/07/2005,21:00:00,1.19497,1.19867,1.18717,1.19587,7593
07/09/2005,21:00:00,1.19587,1.19827,1.19587,1.19707,809
07/10/2005,21:00:00,1.19707,1.20857,1.19567,1.20707,7553
07/11/2005,21:00:00,1.20707,1.22557,1.20527,1.22407,8910
07/12/2005,21:00:00,1.22407,1.22437,1.20727,1.20927,7818
07/13/2005,21:00:00,1.20927,1.21237,1.20557,1.20827,9237
07/14/2005,21:00:00,1.20827,1.21377,1.20197,1.20417,9348
07/16/2005,21:00:00,1.20417,1.20427,1.20277,1.20287,764
07/17/2005,21:00:00,1.20287,1.20897,1.20197,1.20507,7579
07/18/2005,21:00:00,1.20507,1.20667,1.19517,1.20327,8199
07/19/2005,21:00:00,1.20327,1.21877,1.19957,1.21397,10632
07/20/2005,21:00:00,1.21397,1.22507,1.20977,1.21707,12840
07/21/2005,21:00:00,1.21707,1.21887,1.20547,1.20607,10320
07/23/2005,21:00:00,1.20607,1.20687,1.20557,1.20567,986
07/24/2005,21:00:00,1.20567,1.20877,1.20267,1.20597,12207
07/25/2005,21:00:00,1.20597,1.20687,1.19797,1.20127,11782
07/26/2005,21:00:00,1.20127,1.20837,1.19627,1.20677,11272
07/27/2005,21:00:00,1.20677,1.21487,1.20357,1.21377,11921
07/28/2005,21:00:00,1.21377,1.21597,1.20747,1.21237,11983
07/30/2005,21:00:00,1.21237,1.21377,1.21217,1.21227,1083
07/31/2005,21:00:00,1.21227,1.22487,1.21187,1.21797,12298
08/01/2005,21:00:00,1.21797,1.22507,1.21717,1.21887,8820
08/02/2005,21:00:00,1.21887,1.23437,1.21487,1.23347,10576
08/03/2005,21:00:00,1.23347,1.24027,1.22987,1.23837,10695
08/04/2005,21:00:00,1.23837,1.23957,1.23107,1.23507,9877
08/06/2005,21:00:00,1.23507,1.23637,1.23447,1.23467,1191
08/07/2005,21:00:00,1.23467,1.23897,1.23147,1.23497,9899
08/08/2005,21:00:00,1.23497,1.24147,1.23297,1.23697,10846
08/09/2005,21:00:00,1.23697,1.24257,1.23337,1.23817,10010
08/10/2005,21:00:00,1.23817,1.24747,1.23757,1.24697,11403
08/11/2005,21:00:00,1.24697,1.24857,1.23817,1.24357,10242
08/13/2005,21:00:00,1.24357,1.24617,1.24357,1.24587,1021
08/14/2005,21:00:00,1.24587,1.24637,1.23437,1.23667,13020
08/15/2005,21:00:00,1.23667,1.23737,1.22937,1.23627,12327
08/16/2005,21:00:00,1.23627,1.23697,1.22607,1.22697,11804
08/17/2005,21:00:00,1.22697,1.22937,1.21567,1.21747,10566
08/18/2005,21:00:00,1.21747,1.21937,1.21247,1.21637,9859
08/20/2005,21:00:00,1.21637,1.21777,1.21517,1.21657,775
08/21/2005,21:00:00,1.21657,1.22427,1.21557,1.22257,10535
08/22/2005,21:00:00,1.22257,1.22547,1.21897,1.22347,9066
08/23/2005,21:00:00,1.22347,1.22797,1.21617,1.22717,9945
08/24/2005,21:00:00,1.22717,1.23247,1.22557,1.22997,10145
08/25/2005,21:00:00,1.22997,1.23417,1.22697,1.22837,9250
08/27/2005,21:00:00,1.22837,1.23007,1.22807,1.22977,455
08/28/2005,21:00:00,1.22977,1.23447,1.22157,1.22337,9624
08/29/2005,21:00:00,1.22337,1.22377,1.21697,1.22197,9978
08/30/2005,21:00:00,1.22197,1.23567,1.21877,1.23457,9241
08/31/2005,21:00:00,1.23457,1.25257,1.23237,1.25017,10223
09/01/2005,21:00:00,1.25017,1.25887,1.24657,1.25437,10449
09/03/2005,21:00:00,1.25437,1.25447,1.25297,1.25377,633
09/04/2005,21:00:00,1.25377,1.25857,1.25117,1.25407,8698
09/05/2005,21:00:00,1.25407,1.25437,1.24407,1.24647,9686
09/06/2005,21:00:00,1.24647,1.25367,1.24047,1.24147,9821
09/07/2005,21:00:00,1.24147,1.24517,1.23817,1.23967,9183
09/08/2005,21:00:00,1.23967,1.24577,1.23747,1.24117,9119
09/10/2005,21:00:00,1.24117,1.24407,1.24037,1.24067,659
09/11/2005,21:00:00,1.24067,1.24127,1.22697,1.22857,8944
09/12/2005,21:00:00,1.22857,1.23157,1.22447,1.22657,10135
09/13/2005,21:00:00,1.22657,1.23307,1.22557,1.22837,10203
09/14/2005,21:00:00,1.22837,1.22897,1.21937,1.22227,9882
09/15/2005,21:00:00,1.22227,1.23097,1.22007,1.22327,8274
09/17/2005,21:00:00,1.22327,1.22327,1.21557,1.21687,686
09/18/2005,21:00:00,1.21687,1.21747,1.20997,1.21407,6564
09/19/2005,21:00:00,1.21407,1.21897,1.21107,1.21137,6320
09/20/2005,21:00:00,1.21137,1.22377,1.21097,1.22127,7504
09/21/2005,21:00:00,1.22127,1.22687,1.21307,1.21537,7149
09/22/2005,21:00:00,1.21537,1.21677,1.20417,1.20467,6055
09/24/2005,21:00:00,1.20467,1.20467,1.20247,1.20287,873
09/25/2005,21:00:00,1.20287,1.20807,1.20107,1.20717,6116
09/26/2005,21:00:00,1.20717,1.20827,1.19777,1.20127,6614
09/27/2005,21:00:00,1.20127,1.20547,1.19917,1.20357,6879
09/28/2005,21:00:00,1.20357,1.20757,1.20057,1.20307,7776
09/29/2005,21:00:00,1.20307,1.20897,1.19947,1.20187,7141
10/01/2005,21:00:00,1.20187,1.20347,1.20187,1.20227,798
10/02/2005,21:00:00,1.20227,1.20317,1.19007,1.19177,8717
10/03/2005,21:00:00,1.19177,1.19477,1.18997,1.19167,7578
10/04/2005,21:00:00,1.19167,1.19867,1.19127,1.19737,7206
10/05/2005,21:00:00,1.19737,1.22037,1.19707,1.21787,9286
10/06/2005,21:00:00,1.21787,1.21887,1.20917,1.21237,8242
10/08/2005,21:00:00,1.21237,1.21247,1.21037,1.21127,332
10/09/2005,21:00:00,1.21127,1.21527,1.20387,1.20657,6459
10/10/2005,21:00:00,1.20657,1.20717,1.19737,1.19917,7507
10/11/2005,21:00:00,1.19917,1.20537,1.19537,1.20227,8196
10/12/2005,21:00:00,1.20227,1.20377,1.19127,1.20237,8885
10/13/2005,21:00:00,1.20237,1.21077,1.19797,1.20837,9207
10/15/2005,21:00:00,1.20837,1.20867,1.20567,1.20807,655
10/16/2005,21:00:00,1.20807,1.21217,1.20097,1.20237,8271
10/17/2005,21:00:00,1.20237,1.20277,1.19147,1.19587,8919
10/18/2005,21:00:00,1.19587,1.20027,1.18747,1.19907,8803
10/19/2005,21:00:00,1.19907,1.20237,1.19477,1.20227,8553
10/20/2005,21:00:00,1.20227,1.20787,1.19267,1.19507,9300
10/22/2005,21:00:00,1.19507,1.19507,1.19327,1.19367,565
10/23/2005,21:00:00,1.19367,1.20207,1.19207,1.19857,9660
10/24/2005,21:00:00,1.19857,1.21167,1.19357,1.21047,11497
10/25/2005,21:00:00,1.21047,1.21357,1.20487,1.20657,11717
10/26/2005,21:00:00,1.20657,1.21727,1.20427,1.21397,10779
10/27/2005,21:00:00,1.21397,1.21697,1.20477,1.20677,10993
10/29/2005,21:00:00,1.20677,1.20677,1.20437,1.20597,837
10/30/2005,22:00:00,1.20597,1.20887,1.19677,1.19897,11461
10/31/2005,22:00:00,1.19897,1.20307,1.19707,1.20187,11687
11/01/2005,22:00:00,1.20187,1.20847,1.19877,1.20727,12573
11/02/2005,22:00:00,1.20727,1.20817,1.19337,1.19437,11403
11/03/2005,22:00:00,1.19437,1.19927,1.18037,1.18227,10851
11/05/2005,22:00:00,1.18227,1.18227,1.18067,1.18117,352
11/06/2005,22:00:00,1.18117,1.18317,1.17757,1.18027,10921
11/07/2005,22:00:00,1.18027,1.18037,1.17097,1.17797,13004
11/08/2005,22:00:00,1.17797,1.17937,1.17167,1.17627,12892
11/09/2005,22:00:00,1.17627,1.17967,1.16757,1.16847,14088
11/10/2005,22:00:00,1.16847,1.17327,1.16707,1.17277,12085
11/12/2005,22:00:00,1.17277,1.17277,1.17137,1.17217,1096
11/13/2005,22:00:00,1.17217,1.17737,1.16587,1.16897,14411
11/14/2005,22:00:00,1.16897,1.17277,1.16407,1.17187,13280
11/15/2005,22:00:00,1.17187,1.17377,1.16447,1.16687,10792
11/16/2005,22:00:00,1.16687,1.17617,1.16427,1.17487,12445
11/17/2005,22:00:00,1.17487,1.17947,1.16647,1.17657,13078
11/19/2005,22:00:00,1.17657,1.17787,1.17657,1.17717,824
11/20/2005,22:00:00,1.17717,1.18377,1.17177,1.17247,13125
11/21/2005,22:00:00,1.17247,1.18237,1.16847,1.18127,12502
11/22/2005,22:00:00,1.18127,1.18607,1.17637,1.18217,13002
11/23/2005,22:00:00,1.18217,1.18237,1.17697,1.17877,10011
11/24/2005,22:00:00,1.17877,1.17887,1.17087,1.17247,9900
11/26/2005,22:00:00,1.17247,1.17277,1.17027,1.17137,765
11/27/2005,22:00:00,1.17137,1.19007,1.16807,1.18497,12478
11/28/2005,22:00:00,1.18497,1.18617,1.17397,1.17787,10297
11/29/2005,22:00:00,1.17787,1.18037,1.17547,1.17867,11206
11/30/2005,22:00:00,1.17867,1.18037,1.16887,1.17367,11703
12/01/2005,22:00:00,1.17367,1.17527,1.16597,1.17187,13491
12/03/2005,22:00:00,1.17187,1.17187,1.16917,1.17007,2065
12/04/2005,22:00:00,1.17007,1.18187,1.16877,1.17877,17491
12/05/2005,22:00:00,1.17877,1.18067,1.17557,1.17777,15036
12/06/2005,22:00:00,1.17777,1.18027,1.17007,1.17227,15592
12/07/2005,22:00:00,1.17227,1.18497,1.17027,1.18177,15625
12/08/2005,22:00:00,1.18177,1.18367,1.17657,1.18147,12432
12/10/2005,22:00:00,1.18147,1.18177,1.17737,1.17797,1636
12/11/2005,22:00:00,1.17797,1.19817,1.17767,1.19537,14373
12/12/2005,22:00:00,1.19537,1.19877,1.19067,1.19427,14042
12/13/2005,22:00:00,1.19427,1.20607,1.19307,1.19997,14923
12/14/2005,22:00:00,1.19997,1.20387,1.19347,1.19787,15514
12/15/2005,22:00:00,1.19787,1.20267,1.19347,1.20137,15470
12/17/2005,22:00:00,1.20137,1.20297,1.20107,1.20247,1430
12/18/2005,22:00:00,1.20247,1.20377,1.19747,1.20057,13597
12/19/2005,22:00:00,1.20057,1.20127,1.18387,1.18567,13962
12/20/2005,22:00:00,1.18567,1.19107,1.17997,1.18367,14524
12/21/2005,22:00:00,1.18367,1.18967,1.18097,1.18657,14925
12/22/2005,22:00:00,1.18657,1.18847,1.18287,1.18737,11664
12/24/2005,22:00:00,1.18737,1.18747,1.18737,1.18747,1
12/26/2005,22:00:00,1.18747,1.18787,1.18257,1.18267,7027
12/27/2005,22:00:00,1.18267,1.19317,1.18107,1.18327,14151
12/28/2005,22:00:00,1.18327,1.18807,1.18187,1.18397,13320
12/29/2005,22:00:00,1.18397,1.18877,1.17767,1.18387,13214
01/02/2006,22:00:00,1.18387,1.20307,1.18357,1.20177,5648
01/03/2006,22:00:00,1.20177,1.21447,1.20057,1.21177,10532
01/04/2006,22:00:00,1.21177,1.21207,1.20667,1.21087,10414
01/05/2006,22:00:00,1.21087,1.21807,1.20807,1.21527,8733
01/07/2006,22:00:00,1.21527,1.21557,1.21407,1.21487,362
01/08/2006,22:00:00,1.21487,1.21537,1.20527,1.20877,7557
01/09/2006,22:00:00,1.20877,1.21087,1.20367,1.20637,9842
01/10/2006,22:00:00,1.20637,1.21447,1.20447,1.21257,10914
01/11/2006,22:00:00,1.21257,1.21627,1.20067,1.20357,12051
01/12/2006,22:00:00,1.20357,1.21417,1.20267,1.21317,12089
01/14/2006,22:00:00,1.21317,1.21497,1.21307,1.21467,433
01/15/2006,22:00:00,1.21467,1.21737,1.21067,1.21247,11568
01/16/2006,22:00:00,1.21247,1.21397,1.20497,1.21057,12152
01/17/2006,22:00:00,1.21057,1.21607,1.20707,1.21117,11028
01/18/2006,22:00:00,1.21117,1.21247,1.20547,1.20977,9668
01/19/2006,22:00:00,1.20977,1.21407,1.20407,1.21367,10777
01/21/2006,22:00:00,1.21367,1.21447,1.21337,1.21417,386
01/22/2006,22:00:00,1.21417,1.23107,1.21367,1.23037,12319
01/23/2006,22:00:00,1.23037,1.23217,1.22567,1.22787,12892
01/24/2006,22:00:00,1.22787,1.23237,1.22347,1.22397,13181
01/25/2006,22:00:00,1.22397,1.22687,1.21987,1.22057,11692
01/26/2006,22:00:00,1.22057,1.22337,1.20857,1.21007,12079
01/28/2006,22:00:00,1.21007,1.21117,1.20937,1.21057,708
01/29/2006,22:00:00,1.21057,1.21147,1.20647,1.20897,11648
01/30/2006,22:00:00,1.20897,1.21887,1.20787,1.21567,10470
01/31/2006,22:00:00,1.21567,1.21667,1.20467,1.20647,10080
02/01/2006,22:00:00,1.20647,1.21077,1.20327,1.20897,10272
02/02/2006,22:00:00,1.20897,1.21107,1.19667,1.20197,8701
02/04/2006,22:00:00,1.20197,1.20377,1.20197,1.20377,577
02/05/2006,22:00:00,1.20377,1.20457,1.19457,1.19647,8552
02/06/2006,22:00:00,1.19647,1.20147,1.19427,1.19797,11330
02/07/2006,22:00:00,1.19797,1.19937,1.19237,1.19607,8139
02/08/2006,22:00:00,1.19607,1.19947,1.19447,1.19777,7862
02/09/2006,22:00:00,1.19777,1.20257,1.18907,1.18947,8571
02/11/2006,22:00:00,1.18947,1.19097,1.18917,1.18997,853
02/12/2006,22:00:00,1.18997,1.19197,1.18787,1.18947,8147
02/13/2006,22:00:00,1.18947,1.19237,1.18597,1.19147,8235
02/14/2006,22:00:00,1.19147,1.19547,1.18697,1.18877,8582
02/15/2006,22:00:00,1.18877,1.19087,1.18467,1.19047,8054
02/16/2006,22:00:00,1.19047,1.19427,1.18587,1.19327,7730
02/18/2006,22:00:00,1.19327,1.19367,1.19267,1.19287,784
02/19/2006,22:00:00,1.19287,1.19747,1.19217,1.19367,9282
02/20/2006,22:00:00,1.19367,1.19417,1.18907,1.19107,8281
02/21/2006,22:00:00,1.19107,1.19297,1.18627,1.19117,7922
02/22/2006,22:00:00,1.19117,1.19687,1.18917,1.19167,7894
02/23/2006,22:00:00,1.19167,1.19337,1.18637,1.18677,7494
02/25/2006,22:00:00,1.18677,1.18837,1.18667,1.18717,764
02/26/2006,22:00:00,1.18717,1.18787,1.18257,1.18447,13319
02/27/2006,22:00:00,1.18447,1.19407,1.18347,1.19207,10541
02/28/2006,22:00:00,1.19207,1.19757,1.18907,1.19227,11210
03/01/2006,22:00:00,1.19227,1.20447,1.19117,1.20387,13907
03/02/2006,22:00:00,1.20387,1.20527,1.19957,1.20357,14708
03/04/2006,22:00:00,1.20357,1.20547,1.20347,1.20457,900
03/05/2006,22:00:00,1.20457,1.20937,1.19887,1.20157,16283
03/06/2006,22:00:00,1.20157,1.20217,1.18697,1.18877,16234
03/07/2006,22:00:00,1.18877,1.19407,1.18727,1.19247,15988
03/08/2006,22:00:00,1.19247,1.19527,1.19037,1.19077,15870
03/09/2006,22:00:00,1.19077,1.19277,1.18597,1.19157,15221
03/11/2006,22:00:00,1.19157,1.19187,1.19027,1.19127,701
03/12/2006,22:00:00,1.19127,1.19687,1.19097,1.19627,14544
03/13/2006,22:00:00,1.19627,1.20317,1.19397,1.20117,15528
03/14/2006,22:00:00,1.20117,1.20737,1.20047,1.20687,13610
03/15/2006,22:00:00,1.20687,1.21897,1.20347,1.21817,15326
03/16/2006,22:00:00,1.21817,1.22077,1.21407,1.21927,14880
03/18/2006,22:00:00,1.21927,1.21937,1.21787,1.21827,925
03/19/2006,22:00:00,1.21827,1.21967,1.21457,1.21627,14130
03/20/2006,22:00:00,1.21627,1.21657,1.20757,1.20937,13957
03/21/2006,22:00:00,1.20937,1.21137,1.20647,1.20767,12292
03/22/2006,22:00:00,1.20767,1.20807,1.19547,1.19707,12071
03/23/2006,22:00:00,1.19707,1.20457,1.19517,1.20357,13488
03/25/2006,22:00:00,1.20357,1.20417,1.20337,1.20377,1041
03/26/2006,22:00:00,1.20377,1.20577,1.20037,1.20157,13716
03/27/2006,22:00:00,1.20157,1.21057,1.19927,1.19987,13831
03/28/2006,22:00:00,1.19987,1.20487,1.19787,1.20227,11338
03/29/2006,22:00:00,1.20227,1.21717,1.20197,1.21657,13948
03/30/2006,22:00:00,1.21657,1.21757,1.20817,1.21177,15501
04/01/2006,22:00:00,1.21177,1.21177,1.21097,1.21137,427
04/02/2006,21:00:00,1.21137,1.21477,1.20327,1.21377,11951
04/03/2006,21:00:00,1.21377,1.22767,1.21207,1.22567,11806
04/04/2006,21:00:00,1.22567,1.23047,1.22417,1.22867,11953
